,is_lem,is_stop,is_stem,is_alpha,is_lowercase,ngram_range,min_df,max_df,alpha,Accuracy_cv_train,Accuracy_cv_validation,Accuracy_tf_train,Accuracy_tf_validation
0,True,True,True,True,True,"(1, 2)",3,0.8,0.001,0.6754646711578963,0.6321885795570006,0.6863353641554735,0.6339158707579761
1,True,True,True,True,True,"(1, 2)",3,0.8,0.01,0.6749659153170832,0.6327982117455802,0.6860022535026676,0.6346271083113189
2,True,True,True,True,True,"(1, 2)",3,0.9,0.001,0.6754646711578963,0.6321885795570006,0.6863353641554735,0.6339158707579761
3,True,True,True,True,True,"(1, 2)",3,0.9,0.01,0.6749659153170832,0.6327982117455802,0.6860022535026676,0.6346271083113189
4,True,True,True,True,True,"(1, 2)",3,default,0.001,0.6754646711578963,0.6321885795570006,0.6863353641554735,0.6339158707579761
5,True,True,True,True,True,"(1, 2)",3,default,0.01,0.6749659153170832,0.6327982117455802,0.6860022535026676,0.6346271083113189
6,True,True,True,True,True,"(1, 2)",10,0.8,0.001,0.6328993186703971,0.6278195488721805,0.6396925916554871,0.6322901849217639
7,True,True,True,True,True,"(1, 2)",10,0.8,0.01,0.6328792956256929,0.6277179435074172,0.6396507252892875,0.6322901849217639
8,True,True,True,True,True,"(1, 2)",10,0.9,0.001,0.6328993186703971,0.6278195488721805,0.6396925916554871,0.6322901849217639
9,True,True,True,True,True,"(1, 2)",10,0.9,0.01,0.6328792956256929,0.6277179435074172,0.6396507252892875,0.6322901849217639
10,True,True,True,True,True,"(1, 2)",10,default,0.001,0.6328993186703971,0.6278195488721805,0.6396925916554871,0.6322901849217639
11,True,True,True,True,True,"(1, 2)",10,default,0.01,0.6328792956256929,0.6277179435074172,0.6396507252892875,0.6322901849217639
12,True,True,True,True,True,"(1, 2)",20,0.8,0.001,0.6188922887614291,0.6191830928673034,0.623756068347753,0.6245681771997561
13,True,True,True,True,True,"(1, 2)",20,0.8,0.01,0.6188831873774726,0.6191830928673034,0.6237324047494662,0.6246697825645194
14,True,True,True,True,True,"(1, 2)",20,0.9,0.001,0.6188922887614291,0.6191830928673034,0.623756068347753,0.6245681771997561
15,True,True,True,True,True,"(1, 2)",20,0.9,0.01,0.6188831873774726,0.6191830928673034,0.6237324047494662,0.6246697825645194
16,True,True,True,True,True,"(1, 2)",20,default,0.001,0.6188922887614291,0.6191830928673034,0.623756068347753,0.6245681771997561
17,True,True,True,True,True,"(1, 2)",20,default,0.01,0.6188831873774726,0.6191830928673034,0.6237324047494662,0.6246697825645194
18,True,True,True,True,False,"(1, 2)",3,0.8,0.001,0.6754846942026005,0.6322901849217639,0.68634446553943,0.6339158707579761
